idcontrato,tipoContrato,tipoprocedimento,objectoContrato,adjudicante,adjudicatarios,dataPublicacao,dataCelebracaoContrato,precoContratual,cpv,prazoExecucao,localExecucao,fundamentacao,ProcedimentoCentralizado,DescrAcordoQuadro
10424261,1,1,"Seguro de Acidentes de Trabalho para os Funcionários/as da Urbe - Consultores Associados, Lda.",1,1831,2024-01-01,2024-01-01,3918.75,1,366,1.0,1.0,Não,
10424271,1,1,Seguro Automóvel - FIAT 500L/1.3MJ LOUNGE,1,1831,2024-01-02,2024-01-02,467.95,1748,366,1.0,2.0,Não,
10424433,2,1,Ligação EN 342 a placa de S. Martinho,2,1832,2024-01-02,2024-01-02,27849.0,2,30,2.0,5.0,Não,
10424474,1,2,"Serviços de limpeza de bermas, valetas, podas de árvores e manutenção de espaços públicos: manter sem vegetação selvagem as valetas de todas as ruas e caminhos da Freguesia de Carvalhosa, no concelho ",3,1833,2024-01-02,2024-01-02,11520.0,3,365,3.0,8.0,Não,
10424593,1,1,"Serviços de limpeza de bermas, valetas e manutenção de espaços públicos: manter sem vegetação selvagem as valetas de todas as ruas e caminhos da Freguesia de Joane, no concelho de Vila Nova de Famalic",4,1838,2024-01-02,2024-01-02,19248.0,2025,365,4.0,9.0,Não,
10424623,1,2,"O presente procedimento tem por objeto a aquisição de serviços de cópias, impressões e digitalizações. A prestação deste serviço prevê os seguintes objetivos operacionais:
1) Instalação, configuração ",5,1860,2024-01-02,2024-01-01,5203.8,4,1096,5.0,10.0,Não,
10424643,1,2,"1.	O seguro de acidentes de trabalho deve garantir as condições exigidas por Lei para os trabalhadores por conta de outrem de uma entidade.
2.	Estima-se uma média de 21 (vinte e um) trabalhadores por ",5,1862,2024-01-02,2024-01-01,7991.1,4,1096,5.0,11.0,Não,
10424705,1,1,"Serviços de manutenção de espaços verdes 2024: incluindo o corte de relva, manutenção do sistema de rede de rega, adubagem, pesticidas e inseticidas permitidos por lei, podas de árvores e arbustos, o ",6,1878,2024-01-02,2024-01-02,11784.96,5,364,6.0,16.0,Não,
10424795,1,1,Seguro de Acidentes Pessoais para os/as Candidatos/as do Centro Qualifica Casa de Payva,1,1897,2024-01-03,2024-01-03,1455.0,6,364,7.0,22.0,Não,
10424853,1,1,"Seguro de Acidentes Pessoais para os Cursos da Tipologia 3.01 – POISE-03-42I5-FSE-000025, ministrados pela Urbe – Consultores Associados, Lda.",1,1898,2024-01-03,2024-01-03,3333.12,7,711,8.0,28.0,Não,
10425077,1,1,"Serviços de animador do Gabinete de Inserção Profissional, de acordo com o quadro legal vigente, que, em estreita cooperação com o Instituto de Emprego e Formação Profissional, preste apoio a jovens e",7,1901,2024-01-03,2024-01-02,11400.0,258,364,9.0,29.0,Não,
10425115,3,2,J1/3619/2023 Reagentes para Imunologia - Sebia,8,1902,2024-01-03,2024-01-02,17520.14,1,182,10.0,32.0,Não,
10425123,1,3,"Aquisição de serviços de recolha e transporte a destino final de resíduos urbanos (RU) e biorresíduos, monstros e monos, lavagem e manutenção de contentores do Município de Vila Real",119,1903,2024-01-03,2024-01-03,215000.0,1748,58,11.0,34.0,Não,
10425238,1,3,Aquisição de Serviço Externo e integrado de Saúde e Segurança no Trabalho para o IPCA,9,1928,2024-01-03,2024-01-03,61083.99,1,1096,12.0,40.0,Não,
10425538,1,2,"Aquisição de serviços de assessoria em Direito Público, em regime de bolsa de horas.",10,1936,2024-01-03,2024-01-03,19500.0,1748,366,13.0,42.0,Não,
10425621,1,1,Prestação de Serviços de Limpeza Urbana na Vila de Alijó,11,1941,2024-01-03,2024-01-03,47760.0,8,366,14.0,47.0,Não,
10425633,3,2,DM CLINICO - PROTESE TOTAL JOELHO CIMENTADO,12,1985,2024-01-03,2024-01-03,20000.0,9,1,15.0,49.0,Não,
10426548,1,2,Aquisição de serviços de comunicações de satélite,13,1992,2024-01-03,2024-01-03,18926.0,10,731,,53.0,Não,
10426586,4,3,Aquisição de solução de atendimento automático com Agentes Virtuais,14,2001,2024-01-03,2024-01-03,354200.0,11,366,17.0,54.0,Não,
10426723,1,2,AD_66/2023 - Patrocínio Judiciário em matérias conexas,15,2012,2024-01-03,2024-01-03,38400.0,1432,731,18.0,56.0,Não,
10426768,3,4,"BS202354 - Fornecimento de Gasóleo Rodoviário para o Município de Vouzela, ao Abrigo do Acordo Quadro para Fornecimento de Combustíveis Rodoviários da Comunidade Intermunicipal Viseu Dão Lafões (AQ_CP",16,2014,2024-01-03,2024-01-03,120000.0,12,730,19.0,61.0,Não,1.0
10426884,3,1,CPr.C.005.2023 - Aquisição de Produtos de Padaria e Pastelaria,17,2027,2024-01-03,2024-01-03,17628.0,13,180,,70.0,Não,
10426893,3,4,"Aquisição de Corretivos da Volémia, Soluções para Conservação de orgãos, hemodialise, hemofiltração e outras soluções estéreis  AQ 306/2023 – Ano 2024",18,2030,2024-01-03,2024-01-01,66780.0,14,365,21.0,74.0,Não,2.0
10426920,3,4,"Aquisição de Corretivos da Volémia, Soluções para Conservação de orgãos, hemodialise, hemofiltração e outras soluções estéreis  AQ 306/2023 – Ano 2024",19,2046,2024-01-03,2024-01-01,14756.0,15,365,21.0,80.0,Não,2.0
10426977,3,4,"Aquisição de Corretivos da Volémia, Soluções para Conservação de orgãos, hemodialise, hemofiltração e outras soluções estéreis  AQ 306/2023 – Ano 2024",19,2048,2024-01-03,2024-01-01,54711.49,16,365,21.0,91.0,Não,2.0
10426980,3,5,"Procº 1259P/2023 - Fornecimento de Energia Elétrica Em Regime De Média Tensão (MT) e Baixa Tensão Especial (BTE),  ao abrigo do Lote B e C do Acordo Quadro para Fornecimento de Energia em Regime de Me",19,2055,2024-01-03,2024-01-03,638407.95,17,365,,1.0,Não,3.0
10426989,3,4,241000019 - Medicamentos do aparelho geniturinário (PLURIANUAL 2024-2026),20,2068,2024-01-03,2024-01-03,190804.8,18,1096,23.0,2.0,Não,4.0
10427140,3,1,"Aquisição de Sistema de Controlo de Iluminação Cénica, destinado a equipar o Teatro Miguel Franco",21,2069,2024-01-03,2024-01-02,9982.5,995,30,10.0,5.0,Não,
10427514,3,1,"Fornecimento e Instalação de Toldos de sombreamento no JI do Barril, no JI de Ribamar e na EB1/JI São Miguel do Milharado.",35,2070,2024-01-03,2024-01-03,53450.0,19,45,24.0,8.0,Não,
10427624,3,2,Fornecimento de Combustíveis Rodoviários a Granel – Gasóleo simples - Ao abrigo do Acordo Quadro 6255989,530,2077,2024-01-03,2024-01-03,260000.0,669,1461,25.0,9.0,Não,
10427794,1,2,Renovação de publicações periódicas em formato digital,22,2100,2024-01-03,2024-01-03,5923.4,20,366,23.0,10.0,Não,
10427855,1,1,Consulta Prévia 19/2023,23,2103,2024-01-03,2024-01-02,51564.93,20,1096,26.0,11.0,Não,
10428306,1,2,"Serviços de limpeza de espaços públicos: limpeza semanal das ruas principais, limpeza e desobstrução de aquedutos, recolha do lixo dos caixotes espalhados pela Freguesia, limpeza das zonas envolventes",24,2104,2024-01-03,2024-01-02,6600.0,20,364,9.0,16.0,Não,
10428479,3,1,Fornecimento e montagem de aparelhos de ar condicionado no edifício Villa Urbana de Valbom,25,2116,2024-01-03,2024-01-03,25184.05,21,10,27.0,22.0,Não,
10428507,1,2,Prestação de serviços no sector de licenciamentos da junta de freguesia das avenidas novas,26,2132,2024-01-03,2024-01-03,9600.0,20,243,23.0,28.0,Não,
10428542,1,2,AQUISIÇÃO DE SERVIÇOS DE SUPORTE E DESENVOLVIMENTO DE CÓDIGO DO WEBSITE DA CÂMARA MUNICIPAL DE TORRES VEDRAS,27,2134,2024-01-03,2024-01-03,40200.0,22,362,28.0,29.0,Não,
10428743,1,2,AD0324_Transporte_DE_2Pe3P,28,2145,2024-01-03,2024-01-03,3500.0,960,126,29.0,32.0,Não,
10428841,1,2,SERVIÇO DE VIGILÂNCIA E OUTROS,29,2146,2024-01-03,2024-01-03,9963.0,983,91,30.0,34.0,Não,
10428878,3,3,"244A000008 - Aquisição de material de limpeza, pelo Centro Hospitalar Universitário de Lisboa Norte, E.P.E., durante o ano de 2024",30,2148,2024-01-04,2024-01-04,1624.89,23,362,23.0,40.0,Não,
10428975,3,1,Fornecimento de bens/serviço - Leite escolar,31,2153,2024-01-04,2024-01-02,28780.0,24,365,31.0,42.0,Não,
10429029,1,4,"Aquisição, por lotes, de Serviços de Manutenção de Equipamentos de Elevação para a Universidade de Lisboa",32,2173,2024-01-04,2024-01-02,2862.0,25,1096,23.0,47.0,Sim,5.0
10429042,3,1,Produtos de padaria e pastelaria,21,2175,2024-01-04,2024-01-02,26391.96,6,365,31.0,49.0,Não,
10429056,1,3,"AQUISIÇÃO DE SERVIÇOS DE COMUNICAÇÃO DE VOZ E DADOS CENTRO HOSPITALAR DE VILA NOVA DE GAIA/ESPINHO, EPE - ANO 2023",35,2176,2024-01-04,2024-01-04,177703.81,26,361,21.0,53.0,Não,
10429128,3,4,"747.2023 - Convite ao abrigo do acordo-quadro 2021/33 – Cardioversores Desfibrilhadores Implantáveis e Pacemakers, para suprir necessidades na área da saúde
242000011 - Aquisição de pacemakers durante",530,2183,2024-01-04,2024-01-04,83330.0,27,363,23.0,54.0,Sim,6.0
10429229,2,1,REABILITAÇÃO DO ESTALEIRO MUNICIPAL DE VIMIERO E DO ANTIGO MATADOURO DE VIMIEIRO,33,2184,2024-01-04,2024-01-03,110360.18,28,90,32.0,56.0,Não,
10429245,1,5,"Prestação de serviços de fornecimento de Vigilância e Segurança Humana ao abrigo do Acordo Quadro para Prestação de Serviços de Segurança e de Vigilância Humana – CNCM – AQ/52/2021, com as especificaç",34,2185,2024-01-04,2024-01-03,728640.0,29,366,26.0,61.0,Não,7.0
10429297,3,1,Bacalhau e atum,33,2187,2024-01-04,2024-01-02,19553.5,30,365,31.0,70.0,Não,
10429348,1,2,Realização de vídeo institucional de animação para comunicação do novo tarifário,19,2199,2024-01-04,2024-01-03,12958.0,1441,60,33.0,74.0,Não,
10429430,3,1,Produtos para o Bufete,21,2203,2024-01-04,2024-01-02,20306.0,31,365,31.0,80.0,Não,
10429460,2,3,Concurso Público Internacional para a Celebração de Acordo Quadro Singular para a Realização de Obras na Via Pública (Lotes N e S),35,2206,2024-01-04,2024-01-03,0.0,32,1461,21.0,91.0,Não,
10429515,3,2,AD5_AEFEC_2024_Pao,530,2209,2024-01-04,2024-01-03,3700.0,33,254,34.0,3.0,Não,
10429524,3,4,Aquisição de Medicamentos Anti retrovíricos para o tratamento da infeção do VIH - ano 2024,36,2211,2024-01-04,2024-01-01,1283413.8,34,365,21.0,45.0,Não,8.0
10429616,3,1,Aquisição de bens - Betão betuminoso a frio,37,2218,2024-01-04,2024-01-03,30280.0,35,366,9.0,55.0,Não,
10429773,3,1,Fornecimento de Carnes Verdes,33,2219,2024-01-04,2024-01-02,56630.0,15,365,31.0,4.0,Não,
10429777,2,1,"Execução de Diversos trabalhos de intervenções elétricas no HEM, CHLO, E.P.E.",38,2224,2024-01-04,2024-01-04,13134.89,20,7,23.0,6.0,Não,
10429820,1,1,Transporte de Alunos da Unidade de Apoio Multideficiência - UAM,33,2226,2024-01-04,2024-01-02,34362.58,36,179,31.0,7.0,Não,
10429827,1,4,"Aquisição, por lotes, de Serviços de Manutenção de Equipamentos de Elevação para a Universidade de Lisboa",39,2228,2024-01-04,2024-01-03,18234.0,607,1096,23.0,15.0,Sim,5.0
10429925,1,3,PPC35/2023_BS/DAF - CONTRATAÇÃO DE SERVIÇOS DESEGUROS 2024_2026,40,2233,2024-01-04,2024-01-03,293409.15,31,3288,35.0,31.0,Não,
10430104,3,3,Aquisição de produtos alimentares diversos,19,2239,2024-01-04,2024-01-03,1615.0,37,244,10.0,33.0,Não,
10430170,3,4,"Aquisição de Estimulantes da Eritropoiese, para o ano de 2024",41,2245,2024-01-04,2024-01-01,240104.0,38,365,21.0,35.0,Não,9.0
10430208,3,1,Papel de fotocópia e economato - Papelaria,33,2248,2024-01-04,2024-01-02,24470.07,19,365,31.0,37.0,Não,
10430310,3,2,DM CLINICO - MATERIAL APLICADO- PROTESES-,42,2249,2024-01-04,2024-01-04,20000.0,669,1,15.0,38.0,Não,
10430357,3,4,AQUISIÇÃO DE MEDICAMENTOS DIVERSOS,705,2250,2024-01-04,2024-01-04,685.0,39,5,23.0,48.0,Não,10.0
10430467,1,2,Prestação de serviços de valorização dos subprodutos gerados no âmbito do processo de abate do Matadouro de São Miguel.,33,2251,2024-01-04,2024-01-03,18000.0,35,366,36.0,51.0,Não,
10430523,3,3,Aquisição de leite escolar para 2024,43,2253,2024-01-04,2024-01-04,74525.94,20,366,37.0,72.0,Não,
10430617,1,2,Produção e Implementação do projeto Hortas - Uma Economia Paralela,751,2256,2024-01-04,2024-01-03,12500.0,40,213,4.0,73.0,Não,
10430750,1,2,SERVIÇOS DE MANUTENÇÃO ÀS APLICAÇÕES GLINTT NÃO CONTRATADAS CENTRALMENTE PELA SPMS,44,2257,2024-01-04,2024-01-03,65120.36,41,366,15.0,77.0,Não,
10430757,3,4,Aquisição de Medicamentos do Aparelho Cardiovascular - ano 2024,45,2258,2024-01-04,2024-01-01,49938.0,2254,365,21.0,78.0,Não,11.0
10430770,3,4,Aquisição de Medicamentos do Aparelho Cardiovascular - ano 2024,19,2261,2024-01-04,2024-01-01,44758.26,42,365,21.0,88.0,Não,11.0
10430883,3,1,321_2023_CPA_BS Fornecimento e Montagem de Outdoors e Mupis,33,2264,2024-01-04,2024-01-03,19161.46,2107,400,38.0,89.0,Não,
10430917,1,2,Mapa turístico de Sintra com curadoria da Time Out,13,2279,2024-01-04,2024-01-04,19000.0,43,366,33.0,1.0,Não,
10431243,1,2,Aquisição de serviços de limpeza do Edifício dos Paços do Concelho e limpeza e atendimento nos Quiosques (Visit Pesqueira e Jardim da Devesa),21,2284,2024-01-04,2024-01-03,9000.0,34,366,39.0,2.0,Não,
10431318,1,2,"Aquisição de serviços de apoio à Divisão de Planeamento, Obras, Ambiente e Urbanismo",35,2290,2024-01-04,2024-01-03,9000.0,6,366,39.0,5.0,Não,
10431323,3,1,CONSULTA PRÉVIA PARA AQUISIÇÃO MASSAS BETUMINOSAS A QUENTE – Fornecimento continuo com transporte 183DAP23  MP/809/CP/B,530,2295,2024-01-04,2024-01-03,74365.0,44,1095,40.0,8.0,Não,
10431627,3,2,Aquisição de bens alimentares para o bufete do Agrupamento de Escolas,46,2296,2024-01-04,2024-01-03,2630.0,20,366,41.0,9.0,Não,
10431685,1,2,"AQUISIÇÃO DE SERVIÇOS DE PATROCÍNIO FORENSE NO ÂMBITO DOS PROCESSOS JUDICIAIS COM AS REFERÊNCIAS PROC. N.ºS 3329/23.6BELSB, 3462/23.4BELSB E 3232/23.0BELSB",47,2299,2024-01-04,2024-01-03,21250.0,45,1080,23.0,10.0,Não,
10431826,1,2,"Aquisição de serviços, no regime de avença, de limpeza nas várias instalações do Município",48,2303,2024-01-04,2024-01-03,7800.0,920,366,39.0,11.0,Não,
10432106,1,2,"Aquisição de serviços de limpeza e manutenção para o Centro de Recolha Oficial Intermunicipal de Abrantes, Constância e Sardoal (CRO)",13,2305,2024-01-04,2024-01-04,9600.0,14,366,42.0,16.0,Não,
10432242,3,2,OA057423 - Aquisição de assinaturas anuais da revista Sábado e Jornal de negócios,19,2306,2024-01-04,2024-01-03,9955.96,46,365,23.0,22.0,Não,
10432485,3,1,58-2023-Aquisição de sinais de trânsito,19,2316,2024-01-04,2024-01-04,39881.1,47,366,43.0,28.0,Não,
10432537,2,3,Empreitada IC2 (EN1). MEIRINHAS (KM 136+700) E POMBAL (KM 148+500). REQUALIFICAÇÃO,49,2327,2024-01-04,2024-01-03,17127407.78,48,600,44.0,29.0,Não,
10432549,3,1,AQUISIÇÃO DE ARTIGOS DE PAPELARIA,1716,2334,2024-01-04,2024-01-03,9258.04,1891,366,45.0,32.0,Não,
