ID,Codigo_CPV,Descricao
1,66512100-3,Serviços de seguros de acidentes
2,66514110-0,Serviços de seguro automóvel
3,45233200-1,Obras diversas de pavimentação
4,90611000-3,Serviços de limpeza de ruas
5,79800000-2,Serviços de impressão e afins
6,66510000-8,Serviços de seguros
7,77311000-3,Serviços de manutenção de jardins ornamentais e recreativos
8,79611000-0,Serviços de procura de emprego
9,33696000-5,Reagentes e meios de contraste
10,90500000-2,Serviços relativos a resíduos e lixos
11,71317200-5,Serviços de saúde e segurança
12,79111000-5,Serviços de assessoria jurídica
13,90612000-0,Serviços de varredela de ruas
14,33183200-8,Próteses ortopédicas
15,64200000-8,Serviços de telecomunicações
16,48510000-6,Pacote de software para comunicações
17,79110000-8,Serviços de assessoria e representação jurídicas
18,09100000-0,Combustíveis
19,15800000-6,Produtos alimentares diversos
20,33600000-6,Produtos farmacêuticos
21,09310000-5,Electricidade
22,31000000-6,"Maquinaria, aparelhagem, equipamento e consumíveis eléctricos; iluminação"
23,39522120-4,Toldos
24,09134100-8,Gasóleo
25,72000000-5,"Serviços de TI: consultoria, desenvolvimento de software, Internet e apoio"
26,90600000-3,"Serviços de saneamento e limpeza em áreas urbanas ou rurais, e serviços conexos"
27,42512300-1,"Sistemas de aquecimento, ventilação e ar condicionado"
28,75100000-7,Serviços relacionados com a administração pública
29,72413000-8,Serviços de concepção de sítios da World Wide Web (WWW)
30,60120000-5,Serviços de táxis
31,79714000-2,Serviços de vigilância
32,39224300-1,"Vassouras, escovas e outros artigos para limpeza doméstica"
33,15510000-6,Leite e natas
34,50750000-7,Serviços de manutenção de elevadores
35,15810000-9,"Produtos de panificação, produtos frescos de pastelaria e bolos"
36,45000000-7,Construção
37,03311210-7,Bacalhau
38,92110000-5,Serviços de produção de filmes e fitas de vídeo e afins
39,45233140-2,Obras em estradas
40,44114000-2,Betão
41,15110000-2,Carne
42,45200000-9,Obras de construção total ou parcial e de engenharia civil
43,60130000-8,Serviços de transporte rodoviário de passageiros com finalidade específica
