ID,pais,distrito,concelho
1,Portugal,Aveiro,Castelo de Paiva
2,Portugal,Coimbra,Góis
3,Portugal,Porto,Paços de Ferreira
4,Portugal,Braga,Vila Nova de Famalicão
5,Portugal,Faro,São Brás de Alportel
6,Portugal,Porto,Felgueiras
7,Portugal,Aveiro,"Castelo de Paiva | Portugal, Porto, Penafiel | Portugal, Viseu, Cinfães"
8,Portugal,Aveiro,"Castelo de Paiva | Portugal, Porto, Paredes | Portugal, Porto, Penafiel"
9,Portugal,Braga,Guimarães
10,Portugal,Leiria,Leiria
11,Portugal,Vila Real,Vila Real
12,Portugal,Braga,Barcelos
13,Portugal,Vila Real,Montalegre
14,Portugal,Vila Real,Alijó
15,Portugal,Viseu,Viseu
16,Portugal,Região Autónoma dos Açores,None
17,Portugal,Lisboa,Oeiras
18,Portugal,Viseu,Resende
19,Portugal,Viseu,Vouzela
20,Portugal,Região Autónoma da Madeira,None
21,Portugal,Porto,Vila Nova de Gaia
22,Portugal,None,None
23,Portugal,Lisboa,Lisboa
24,Portugal,Lisboa,Mafra
25,Portugal,Portalegre,Alter do Chão
26,Portugal,Porto,Porto
27,Portugal,Porto,Gondomar
28,Portugal,Lisboa,Torres Vedras
29,Portugal,Leiria,Marinha Grande
30,Portugal,Braga,Celorico de Basto
31,Portugal,Viana do Castelo,Viana do Castelo
32,Portugal,Évora,Arraiolos
33,Portugal,Lisboa,Sintra
34,Portugal,Braganca,Freixo Espada a Cinta
35,Portugal,Faro,Loulé
36,Portugal,Região Autónoma dos Açores,Ribeira Grande
37,Portugal,Braga,Fafe
38,Portugal,Aveiro,Santa Maria da Feira
39,Portugal,Viseu,São João da Pesqueira
40,Portugal,Porto,Paredes
41,Portugal,Portalegre,Nisa
42,Portugal,Santarém,Abrantes
43,Portugal,Porto,Baião
44,Portugal,Leiria,Pombal
45,Portugal,Braga,Esposende
46,Portugal,Santarém,Santarém
